,,,,,,,,,,,,,,<- Call Option,,,Put Option ->,,,,,,,,,,,,,,
Open Interest,Delta,Gamma,Vega,Theta,Rho,IV Chg,Midpt Price Chg,Trade Count,Volume,Bid IV,Bid Price,Theo Price,Ask Price,Ask IV,Expiration,Strike Price,Bid IV,Bid Price,Theo Price,Ask Price,Ask IV,Trade Count,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,IV Chg,Midpt Price Chg
153,1,0,0,0,0.0067,57.94,-0.415,4,35,0.1,182.79,,182.89,312.82,SPY 01-Dec-25,500,0.1,0,,0.01,264.63,2,2,373,0,0,0,0,0,57.94,0
0,1,0,0,-0.0014,0.0068,55.265,-0.305,1,5,0.1,176.48,,179.22,400,SPY 01-Dec-25,505,0.1,0,,0.01,257.5,0,0,30,0,0,0,0,0,55.265,0
166,1,0,0,0,0.0068,54.01,-0.445,1,11,0.1,172.79,,172.92,308.92,SPY 01-Dec-25,510,0.1,0,,0.01,250,0,0,57,0,0,0,0,0,54.01,0
166,1,0,0,0,0.0069,52.015,-0.445,1,12,0.1,167.79,,167.92,299.84,SPY 01-Dec-25,515,0.1,0,,0.01,240.87,0,0,241,0,0,0,0,0,52.015,0
12,1,0,0,0,0.007,50.97,-0.91,7,35,0.1,161.53,,162.96,300.86,SPY 01-Dec-25,520,0.1,0,,0.01,233.56,0,0,202,0,0,0,0,0,50.97,0
1,0.9999,0,0.0001,-0.0187,0.007,52.29,-0.305,0,0,0.1,156.48,,159.22,400,SPY 01-Dec-25,525,0.1,0,,0.01,232.57,0,0,73,0,0,0,0,0,52.29,0
96,1,0,0,0,0.0071,49.655,-0.4,4,34,0.1,152.79,,152.92,272.12,SPY 01-Dec-25,530,0.1,0,,0.01,222.96,0,0,389,0,0,0,0,0,49.655,0
1,0.9999,0,0.0002,-0.024,0.0072,46.19,-0.31,1,1,0.1,146.48,,149.22,382.38,SPY 01-Dec-25,535,0.1,0,,0.01,212.64,0,0,411,0,0,0,0,0,46.19,0
0,0.9999,0,0.0003,-0.0266,0.0072,45.765,-0.31,0,0,0.1,141.48,,144.22,370.22,SPY 01-Dec-25,540,0.1,0,,0.01,206.43,0,0,229,0,0,0,0,0,45.765,0
1,0.9998,0,0.0003,-0.03,0.0073,41.875,-0.31,0,0,0.1,136.49,,139.22,358.2,SPY 01-Dec-25,545,0.1,0,,0.01,195.46,0,0,297,0,0,0,0,0,41.875,0
0,0.9998,0,0.0003,-0.0333,0.0074,44.075,-0.485,1,5,0.1,131.48,,134.22,346.24,SPY 01-Dec-25,550,0.1,0,,0.01,194.79,0,0,429,0,0,0,0,0,44.075,0
18,0.9998,0,0.0003,-0.0367,0.0074,42.625,-0.465,0,0,0.1,126.48,,129.22,334.41,SPY 01-Dec-25,555,0.1,0,,0.01,188.01,1,2,422,0,0,0,0,0,42.625,0
1,0.9997,0,0.0003,-0.04,0.0075,38.79,-0.31,4,8,0.1,121.48,,124.22,322.7,SPY 01-Dec-25,560,0.1,0,,0.01,176.18,0,0,475,0,0,0,0,0,38.79,0
0,0.9997,0,0.0003,-0.0434,0.0076,36.39,-0.305,3,15,0.1,116.49,,119.22,311.09,SPY 01-Dec-25,565,0.1,0,,0.01,168.95,0,0,632,0,0,0,0,0,36.39,0
0,0.9997,0,0.0003,-0.0467,0.0076,36.095,-0.31,0,0,0.1,111.48,,114.22,299.58,SPY 01-Dec-25,570,0.1,0,,0.01,161.78,0,0,521,0,0,0,0,0,36.095,0
0,0.9996,0,0.0003,-0.0501,0.0077,34.415,-0.31,0,0,0.1,106.48,,109.22,288.19,SPY 01-Dec-25,575,0.1,0,,0.01,154.53,0,0,262,0,0,0,0,0,34.415,0
2,0.9996,0,0.0003,-0.0535,0.0078,32.41,-0.31,8,75,0.1,101.48,,104.22,276.88,SPY 01-Dec-25,580,0.1,0,,0.01,147.3,2,6,470,0,0,0,0,0,32.41,0
1,0.9995,0.0001,0.0005,-0.0571,0.0078,29.79,-0.305,4,16,0.1,96.49,,99.22,265.81,SPY 01-Dec-25,585,0.1,0,,0.01,138.33,1,1,508,0,0,0,0,0,29.79,0
21,0.9995,0.0001,0.0009,-0.0624,0.0079,27.375,-0.45,7,80,0.1,91.53,,94.22,253.7,SPY 01-Dec-25,590,0.1,0,,0.01,130.21,0,0,299,0,0,0,0,0,27.375,0
72,1,0,0,0,0.008,26.53,-0.615,4,21,0.1,87.79,,87.89,150.63,SPY 01-Dec-25,595,0.1,0,,0.01,123.58,5,5,425,0,0,0,0,0,26.53,0
24,0.9993,0.0001,0.0009,-0.0676,0.008,25.005,-0.265,1,1,0.1,81.64,,84.16,227.16,SPY 01-Dec-25,600,0.1,0,,0.01,115.71,1,1,3238,0,0,0,0,0,25.005,0
